sname,rname,order,city,province,geometry
上海曹杨路(地铁站),上海地铁4号线外圈(宜山路--宜山路),22,上海,上海市,"31.24113873,121.41305551"
上海金沙江路(地铁站),上海地铁4号线外圈(宜山路--宜山路),23,上海,上海市,"31.23398296,121.40855314"
上海中山公园(地铁站),上海地铁4号线外圈(宜山路--宜山路),24,上海,上海市,"31.21979276,121.41112857"
上海延安西路(地铁站),上海地铁4号线外圈(宜山路--宜山路),25,上海,上海市,"31.21146546,121.41241767"
上海虹桥路(地铁站),上海地铁4号线外圈(宜山路--宜山路),26,上海,上海市,"31.19938148,121.41617532"
上海宜山路(地铁站),上海地铁4号线外圈(宜山路--宜山路),27,上海,上海市,"31.18895179,121.42260651"
上海闵行开发区(地铁站),上海地铁5号线(闵行开发区--莘庄),1,上海,上海市,"31.00260857,121.36510635"
上海文井路(地铁站),上海地铁5号线(闵行开发区--莘庄),2,上海,上海市,"31.00556401,121.3761541"
上海华宁路(地铁站),上海地铁5号线(闵行开发区--莘庄),3,上海,上海市,"31.00942305,121.39062465"
上海金平路(地铁站),上海地铁5号线(闵行开发区--莘庄),4,上海,上海市,"31.01323606,121.40555436"
上海东川路(地铁站),上海地铁5号线(闵行开发区--莘庄),5,上海,上海市,"31.02015252,121.41527587"
上海剑川路(地铁站),上海地铁5号线(闵行开发区--莘庄),6,上海,上海市,"31.0284323,121.41195429"
上海北桥(地铁站),上海地铁5号线(闵行开发区--莘庄),7,上海,上海市,"31.04704591,121.40542082"
上海颛桥(地铁站),上海地铁5号线(闵行开发区--莘庄),8,上海,上海市,"31.06893414,121.39723048"
上海银都路(地铁站),上海地铁5号线(闵行开发区--莘庄),9,上海,上海市,"31.0912571,121.38562869"
上海春申路(地铁站),上海地铁5号线(闵行开发区--莘庄),10,上海,上海市,"31.10015984,121.38118547"
上海莘庄(地铁站),上海地铁5号线(闵行开发区--莘庄),11,上海,上海市,"31.11305478,121.38073934"
上海莘庄(地铁站),上海地铁5号线(莘庄--奉贤新城),1,上海,上海市,"31.1130539,121.38073878"
上海春申路(地铁站),上海地铁5号线(莘庄--奉贤新城),2,上海,上海市,"31.10015926,121.38118418"
上海银都路(地铁站),上海地铁5号线(莘庄--奉贤新城),3,上海,上海市,"31.09125613,121.38562906"
上海颛桥(地铁站),上海地铁5号线(莘庄--奉贤新城),4,上海,上海市,"31.06893297,121.39723088"
上海北桥(地铁站),上海地铁5号线(莘庄--奉贤新城),5,上海,上海市,"31.0470458,121.40542028"
上海剑川路(地铁站),上海地铁5号线(莘庄--奉贤新城),6,上海,上海市,"31.02843225,121.41195285"
上海东川路(地铁站),上海地铁5号线(莘庄--奉贤新城),7,上海,上海市,"31.02015298,121.41527721"
上海江川路(地铁站),上海地铁5号线(莘庄--奉贤新城),8,上海,上海市,"31.00739453,121.41885497"
上海西渡(地铁站),上海地铁5号线(莘庄--奉贤新城),9,上海,上海市,"30.991337,121.42783429"
上海萧塘(地铁站),上海地铁5号线(莘庄--奉贤新城),10,上海,上海市,"30.96790283,121.43726984"
上海奉浦大道(地铁站),上海地铁5号线(莘庄--奉贤新城),11,上海,上海市,"30.94409721,121.44441493"
上海环城东路(地铁站),上海地铁5号线(莘庄--奉贤新城),12,上海,上海市,"30.93324829,121.45867408"
上海望园路(地铁站),上海地铁5号线(莘庄--奉贤新城),13,上海,上海市,"30.93407436,121.47911583"
上海金海湖(地铁站),上海地铁5号线(莘庄--奉贤新城),14,上海,上海市,"30.93096841,121.48807425"
上海奉贤新城(地铁站),上海地铁5号线(莘庄--奉贤新城),15,上海,上海市,"30.91609875,121.49187161"
上海东方体育中心(地铁站),上海地铁6号线(东方体育中心--港城路),1,上海,上海市,"31.15536514,121.47580898"
上海灵岩南路(地铁站),上海地铁6号线(东方体育中心--港城路),2,上海,上海市,"31.15071059,121.49085397"
上海上南路(地铁站),上海地铁6号线(东方体育中心--港城路),3,上海,上海市,"31.15089773,121.50204605"
